step,actic loss,critic loss,average distance,time
2310,-2.4204,1.5938,6.6462,0min11sec
2320,-2.4102,1.5876,6.6356,0min10sec
2330,-2.4003,1.5813,6.6251,0min11sec
2340,-2.3906,1.5752,6.6147,0min10sec
2350,-2.3808,1.5691,6.6043,0min11sec
2360,-2.3711,1.5630,6.5941,0min11sec
2370,-2.3617,1.5570,6.5838,0min11sec
2380,-2.3523,1.5511,6.5737,0min11sec
2390,-2.3429,1.5452,6.5637,0min11sec
2400,-2.3334,1.5394,6.5538,0min10sec
2410,-2.3243,1.5335,6.5439,0min11sec
2420,-2.3149,1.5278,6.5341,0min11sec
2430,-2.3055,1.5221,6.5244,0min11sec
2440,-2.2966,1.5165,6.5148,0min11sec
2450,-2.2876,1.5108,6.5052,0min11sec
2460,-2.2786,1.5053,6.4956,0min11sec
2470,-2.2697,1.4997,6.4862,0min11sec
2480,-2.2610,1.4942,6.4769,0min11sec
2490,-2.2524,1.4888,6.4677,0min11sec
2500,-2.2436,1.4834,6.4584,0min10sec
2510,-2.2353,1.4781,6.4494,0min10sec
2520,-2.2263,1.4728,6.4403,0min10sec
2530,-2.2181,1.4675,6.4313,0min11sec
2540,-2.2096,1.4623,6.4224,0min11sec
2550,-2.2011,1.4572,6.4136,0min11sec
2560,-2.1930,1.4521,6.4048,0min11sec
2570,-2.1846,1.4470,6.3961,0min11sec
2580,-2.1761,1.4419,6.3874,0min11sec
2590,-2.1680,1.4369,6.3787,0min11sec
2600,-2.1603,1.4320,6.3702,0min11sec
2610,-2.1522,1.4270,6.3618,0min11sec
2620,-2.1445,1.4221,6.3533,0min11sec
2630,-2.1365,1.4172,6.3450,0min11sec
2640,-2.1288,1.4124,6.3367,0min11sec
2650,-2.1211,1.4075,6.3284,0min10sec
2660,-2.1134,1.4027,6.3203,0min11sec
2670,-2.1058,1.3980,6.3122,0min10sec
2680,-2.0984,1.3933,6.3041,0min11sec
2690,-2.0909,1.3886,6.2961,0min11sec
2700,-2.0833,1.3839,6.2881,0min11sec
2710,-2.0760,1.3793,6.2802,0min11sec
2720,-2.0686,1.3747,6.2723,0min11sec
2730,-2.0613,1.3701,6.2645,0min10sec
2740,-2.0538,1.3656,6.2567,0min11sec
2750,-2.0465,1.3611,6.2490,0min11sec
2760,-2.0396,1.3567,6.2414,0min11sec
2770,-2.0326,1.3522,6.2338,0min11sec
2780,-2.0255,1.3479,6.2262,0min10sec
2790,-2.0187,1.3435,6.2187,0min11sec
2800,-2.0117,1.3392,6.2113,0min11sec
2810,-2.0047,1.3349,6.2040,0min11sec
2820,-1.9979,1.3306,6.1967,0min11sec
2830,-1.9912,1.3264,6.1895,0min11sec
2840,-1.9846,1.3222,6.1823,0min11sec
2850,-1.9777,1.3180,6.1751,0min11sec
2860,-1.9711,1.3139,6.1681,0min11sec
2870,-1.9646,1.3097,6.1611,0min11sec
2880,-1.9581,1.3057,6.1542,0min10sec
2890,-1.9517,1.3016,6.1472,0min10sec
2900,-1.9452,1.2975,6.1403,0min11sec
2910,-1.9388,1.2935,6.1334,0min10sec
2920,-1.9328,1.2896,6.1266,0min11sec
2930,-1.9265,1.2856,6.1198,0min11sec
2940,-1.9204,1.2816,6.1131,0min11sec
2950,-1.9141,1.2777,6.1064,0min12sec
2960,-1.9081,1.2739,6.0997,0min12sec
2970,-1.9020,1.2700,6.0931,0min12sec
2980,-1.8958,1.2662,6.0865,0min13sec
2990,-1.8897,1.2624,6.0799,0min12sec
3000,-1.8837,1.2586,6.0734,0min12sec
3010,-1.8778,1.2548,6.0669,0min12sec
3020,-1.8717,1.2510,6.0605,0min12sec
3030,-1.8658,1.2473,6.0542,0min12sec
3040,-1.8599,1.2436,6.0478,0min12sec
3050,-1.8540,1.2399,6.0415,0min12sec
3060,-1.8483,1.2363,6.0353,0min12sec
3070,-1.8425,1.2327,6.0292,0min12sec
3080,-1.8368,1.2291,6.0230,0min12sec
3090,-1.8309,1.2255,6.0169,0min12sec
3100,-1.8253,1.2220,6.0109,0min12sec
3110,-1.8197,1.2185,6.0048,0min12sec
3120,-1.8142,1.2150,5.9988,0min12sec
3130,-1.8087,1.2115,5.9929,0min12sec
3140,-1.8033,1.2080,5.9869,0min12sec
3150,-1.7979,1.2046,5.9810,0min12sec
3160,-1.7923,1.2011,5.9750,0min12sec
3170,-1.7869,1.1977,5.9692,0min12sec
3180,-1.7816,1.1944,5.9634,0min12sec
3190,-1.7763,1.1910,5.9576,0min12sec
3200,-1.7710,1.1876,5.9518,0min12sec
3210,-1.7657,1.1843,5.9461,0min12sec
3220,-1.7605,1.1810,5.9405,0min12sec
3230,-1.7553,1.1777,5.9349,0min12sec
3240,-1.7501,1.1744,5.9293,0min12sec
3250,-1.7451,1.1712,5.9239,0min12sec
3260,-1.7400,1.1680,5.9183,0min12sec
3270,-1.7351,1.1648,5.9128,0min12sec
3280,-1.7300,1.1616,5.9074,0min12sec
3290,-1.7250,1.1585,5.9019,0min12sec
3300,-1.7201,1.1554,5.8965,0min12sec
3310,-1.7151,1.1522,5.8911,0min12sec
3320,-1.7102,1.1491,5.8857,0min12sec
3330,-1.7054,1.1460,5.8804,0min12sec
3340,-1.7005,1.1429,5.8752,0min12sec
3350,-1.6957,1.1398,5.8700,0min12sec
3360,-1.6910,1.1368,5.8647,0min12sec
3370,-1.6860,1.1338,5.8595,0min12sec
